ROUTENAME,Place,Latitude,Longitude
Seoul: South Korea DMZ Half & Full Day Tour (No Shopping), Dorasan Station,NaN,NaN
Seoul: South Korea DMZ Half & Full Day Tour (No Shopping), Gamaksan Chulleong Bridge,NaN,NaN
Small Group Full Day Busan Tour (Max 6 Pax),Dongbaekseom,NaN,NaN
Small Group Full Day Busan Tour (Max 6 Pax), Haeundae Dalmaji-gil Road,NaN,NaN
Small Group Full Day Busan Tour (Max 6 Pax), Haedong Yonggungsa Temple,NaN,NaN
Small Group Full Day Busan Tour (Max 6 Pax), Busan,NaN,NaN
Small Group Full Day Busan Tour (Max 6 Pax), Gwangandaegyo Bridge,NaN,NaN
Small Group Full Day Busan Tour (Max 6 Pax), Songdo Skywalk,NaN,NaN
Small Group Full Day Busan Tour (Max 6 Pax), Busan Gamcheon Culture Village,NaN,NaN
Small Group Full Day Busan Tour (Max 6 Pax), Jagalchi Market,NaN,NaN
Small Group Full Day Busan Tour (Max 6 Pax), BIFF Square,NaN,NaN
Small Group Full Day Busan Tour (Max 6 Pax), Gukje Market,NaN,NaN
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour,Imjingak Pyeonghoa-Nuri Park,NaN,NaN
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, Gloster Hill Memorial Park,NaN,NaN
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, Gamaksan Chulleong Bridge,NaN,NaN
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, DMZ,NaN,NaN
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, The Third Tunnel,NaN,NaN
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, Dora Observatory,NaN,NaN
Life of Young Generation in Korea l Gangnam Tour,강남역사거리,NaN,NaN
Life of Young Generation in Korea l Gangnam Tour, 호텔시애틀,NaN,NaN
Life of Young Generation in Korea l Gangnam Tour, Gangnam Daeseong Cram School,NaN,NaN
Life of Young Generation in Korea l Gangnam Tour, 한강공원 운동장,NaN,NaN
Private DMZ Spy Tour and talk with N.Korea Defector,Bugak Skyway,NaN,NaN
Private DMZ Spy Tour and talk with N.Korea Defector, Bugak Palgakjeong Pavilion,NaN,NaN
Private DMZ Spy Tour and talk with N.Korea Defector, The Blue House,NaN,NaN
Private DMZ Spy Tour and talk with N.Korea Defector, Odusan Unification Tower,NaN,NaN
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge,DMZ,NaN,NaN
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, Mangbaedan,NaN,NaN
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, The Third Tunnel,NaN,NaN
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, Dora Observatory,NaN,NaN
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, Gamaksan Chulleong Bridge,NaN,NaN
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, Majang Lake,NaN,NaN
Day Trip to Nami Island with The Garden of Morning Calm,Nami Island,NaN,NaN
Day Trip to Nami Island with The Garden of Morning Calm, The Garden of Morning Calm,NaN,NaN
Nami Island Trip with Petite France & Italian Village and Gangchon Rail Bike,Gangchon Rail Park,NaN,NaN
Nami Island Trip with Petite France & Italian Village and Gangchon Rail Bike, Nami Island,NaN,NaN
Nami Island Trip with Petite France & Italian Village and Gangchon Rail Bike, Petite France,NaN,NaN
Full-Day Tour Unmissable things to do in Busan,Haedong Yonggungsa,NaN,NaN
Full-Day Tour Unmissable things to do in Busan, Cheongsapo,NaN,NaN
Full-Day Tour Unmissable things to do in Busan, Cheongsapo Daritdol Skywalk,NaN,NaN
Full-Day Tour Unmissable things to do in Busan, Huin Yeoulgil,NaN,NaN
Full-Day Tour Unmissable things to do in Busan, Busan Gamcheon Culture Village,NaN,NaN
Gyeongju UNESCO World Heritage Sites and History Full-Day Tour with Lunch,Cheomseongdae Observatory,NaN,NaN
Gyeongju UNESCO World Heritage Sites and History Full-Day Tour with Lunch, Donggung Palace & Wolji Pond,NaN,NaN
Gyeongju UNESCO World Heritage Sites and History Full-Day Tour with Lunch, Gyeongju Gyochon Traditional Village,NaN,NaN
Gyeongju UNESCO World Heritage Sites and History Full-Day Tour with Lunch, Daereungwon Tomb Complex,NaN,NaN
Gyeongju UNESCO World Heritage Sites and History Full-Day Tour with Lunch, Seokguram,NaN,NaN
Gyeongju UNESCO World Heritage Sites and History Full-Day Tour with Lunch, Bulguksa Temple,NaN,NaN
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla ,Bulguksa Temple,NaN,NaN
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla , Seokguram,NaN,NaN
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla , Shilla Arts and Science Museum,NaN,NaN
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla , Daereungwon Tomb Complex,NaN,NaN
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla , Gyeongju Gyochon Traditional Village,NaN,NaN
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla , Gyeongju National Museum,NaN,NaN
Full day Private Gyeongju UNESCO Heritage Tour : a glimpse into Silla , Donggung Palace and Wolji Pond,NaN,NaN
Highlights & Hidden Gems With Locals: Best of Seoul Private Walking Tour,Gwangjang Market,NaN,NaN
Highlights & Hidden Gems With Locals: Best of Seoul Private Walking Tour, Jogyesa Temple,NaN,NaN
Highlights & Hidden Gems With Locals: Best of Seoul Private Walking Tour, Bukchon Hanok Village,NaN,NaN
Highlights & Hidden Gems With Locals: Best of Seoul Private Walking Tour, Gyeongbokgung Palace,NaN,NaN
Enchanting Oedo Island Day Tour from Busan,Dojangpo 1-gil,NaN,NaN
Enchanting Oedo Island Day Tour from Busan, Oedo,NaN,NaN
Enchanting Oedo Island Day Tour from Busan, Windy Hill,NaN,NaN
Enchanting Oedo Island Day Tour from Busan, Maemiseong,NaN,NaN
"Day Trip to Petit France, Nami Island and Elysian Ski Resort",Nami Island,NaN,NaN
"Day Trip to Petit France, Nami Island and Elysian Ski Resort", Petite France,NaN,NaN
"Day Trip to Petit France, Nami Island and Elysian Ski Resort", Elysian Gangchon,NaN,NaN
Shuttle Service to Jisan Ski Resort from Seoul,Jisan Forest Resort,NaN,NaN
Bukhansan Mountain Private Hike with Lunch,Bukhansan National Park,NaN,NaN
Nami Island & Mount Seorak Day trip from Seoul,Seoraksan National Park,NaN,NaN
Nami Island & Mount Seorak Day trip from Seoul, Nami Island,NaN,NaN
Full-Day Ski Package at Jisan Ski Resort from Seoul,Jisan Forest Resort Entrance,NaN,NaN
Full-Day Ski Package at Jisan Ski Resort from Seoul, Gyeonghui Mart,NaN,NaN
Highlight Seoul Half Day Tour - Seoul Palace & Buddhist Temple,Jogyesa Temple,NaN,NaN
Highlight Seoul Half Day Tour - Seoul Palace & Buddhist Temple, Gyeongbokgung Palace,NaN,NaN
Highlight Seoul Half Day Tour - Seoul Palace & Buddhist Temple, Cheongwadae Sarangchae,NaN,NaN
Highlight Seoul Half Day Tour - Seoul Palace & Buddhist Temple, 청하고려인삼,NaN,NaN
Evening Ghost Walking Tour in Seoul,Gyeonghuigung Palace,NaN,NaN
Private DMZ the 3rd Tunnel Tour from Seoul (No Forced Shopping),DMZ,NaN,NaN
Private DMZ the 3rd Tunnel Tour from Seoul (No Forced Shopping), Imjingak Pyeonghoa-Nuri Park,NaN,NaN
Private DMZ the 3rd Tunnel Tour from Seoul (No Forced Shopping), Mangbaedan,NaN,NaN
Private DMZ the 3rd Tunnel Tour from Seoul (No Forced Shopping), Dora Observatory,NaN,NaN
Private DMZ the 3rd Tunnel Tour from Seoul (No Forced Shopping), The Third Tunnel,NaN,NaN
Full day Seoul City Tour (Private),Gyeongbokgung Palace,NaN,NaN
Full day Seoul City Tour (Private), Bukchon Hanok Village,NaN,NaN
Full day Seoul City Tour (Private), Gilsangsa Shrine,NaN,NaN
Full day Seoul City Tour (Private), Kwangjang Market,NaN,NaN
