ROUTENAME,Place,Latitude,Longitude
Seoul: South Korea DMZ Half & Full Day Tour (No Shopping),Imjingak Pyeonghoa-Nuri Park,37.89154365,126.74281252151496
Seoul: South Korea DMZ Half & Full Day Tour (No Shopping), The Third Tunnel,,
Seoul: South Korea DMZ Half & Full Day Tour (No Shopping), Dora Observatory,,
Seoul: South Korea DMZ Half & Full Day Tour (No Shopping), Dorasan Station,37.8983887,126.7091637
Seoul: South Korea DMZ Half & Full Day Tour (No Shopping), Gamaksan Chulleong Bridge,,
Small Group Full Day Busan Tour (Max 6 Pax),Dongbaekseom,35.1604271,129.1546376
Small Group Full Day Busan Tour (Max 6 Pax), Haeundae Dalmaji-gil Road,,
Small Group Full Day Busan Tour (Max 6 Pax), Haedong Yonggungsa Temple,,
Small Group Full Day Busan Tour (Max 6 Pax), Busan,35.1799528,129.0752365
Small Group Full Day Busan Tour (Max 6 Pax), Gwangandaegyo Bridge,35.145690099999996,129.1283872
Small Group Full Day Busan Tour (Max 6 Pax), Songdo Skywalk,,
Small Group Full Day Busan Tour (Max 6 Pax), Busan Gamcheon Culture Village,35.0930475,129.0101532
Small Group Full Day Busan Tour (Max 6 Pax), Jagalchi Market,35.09574395,129.02512255425233
Small Group Full Day Busan Tour (Max 6 Pax), BIFF Square,35.0988987,129.0290545
Small Group Full Day Busan Tour (Max 6 Pax), Gukje Market,35.10116429999999,129.02819254464794
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour,Imjingak Pyeonghoa-Nuri Park,37.89154365,126.74281252151496
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, Gloster Hill Memorial Park,,
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, Gamaksan Chulleong Bridge,,
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, DMZ,38.3072977,127.23023944375083
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, The Third Tunnel,,
DMZ Full day with Gloucester Memorial & Suspension Bridge Tour, Dora Observatory,,
Life of Young Generation in Korea l Gangnam Tour,강남역사거리,37.4977839,127.026604
Life of Young Generation in Korea l Gangnam Tour, 호텔시애틀,,
Life of Young Generation in Korea l Gangnam Tour, Gangnam Daeseong Cram School,,
Life of Young Generation in Korea l Gangnam Tour, 한강공원 운동장,,
Private DMZ Spy Tour and talk with N.Korea Defector,Bugak Skyway,,
Private DMZ Spy Tour and talk with N.Korea Defector, Bugak Palgakjeong Pavilion,,
Private DMZ Spy Tour and talk with N.Korea Defector, The Blue House,,
Private DMZ Spy Tour and talk with N.Korea Defector, Odusan Unification Tower,37.7730931,126.67700974378
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge,DMZ,38.3072977,127.23023944375083
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, Mangbaedan,37.8894573,126.7405547
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, The Third Tunnel,,
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, Dora Observatory,,
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, Gamaksan Chulleong Bridge,,
Private DMZ Peace Tour: 3rd Invasion Tunnel(Monorail) and Suspension Bridge, Majang Lake,,
Day Trip to Nami Island with The Garden of Morning Calm,Nami Island,37.79172845,127.52514403423976
Day Trip to Nami Island with The Garden of Morning Calm, The Garden of Morning Calm,37.741367600000004,127.35204510362773
Nami Island Trip with Petite France & Italian Village and Gangchon Rail Bike,Gangchon Rail Park,37.816811,127.7132154
Nami Island Trip with Petite France & Italian Village and Gangchon Rail Bike, Nami Island,37.79172845,127.52514403423976
